GEOID,GEO_id2,Civilian_EST,Civilian_MOE,Veteran_EST,Veteran_MOE,Veteran_Percent_EST,Veteran_Percent_MOE,Total_POP_EST
6037101110,6037101110,3574,376,97,55,2.7,1.5,3671
6037101122,6037101122,2738,244,235,108,8.6,4.1,2973
6037101210,6037101210,4612,413,61,60,1.3,1.3,4673
6037101220,6037101220,2633,238,85,39,3.2,1.5,2718
6037101300,6037101300,3782,402,124,76,3.3,1.9,3906
6037101400,6037101400,3348,211,158,58,4.7,1.7,3506
6037102103,6037102103,1594,122,104,42,6.5,2.6,1698
6037102104,6037102104,3252,350,133,55,4.1,1.7,3385
6037102105,6037102105,1580,191,116,53,7.3,3,1696
6037102107,6037102107,3250,341,183,68,5.6,2.1,3433
6037103101,6037103101,2115,155,178,72,8.4,3.3,2293
6037103102,6037103102,3775,332,106,50,2.8,1.3,3881
6037103200,6037103200,5169,611,291,144,5.6,2.7,5460
6037103300,6037103300,2861,278,199,77,7,2.7,3060
6037103400,6037103400,5673,550,245,170,4.3,2.9,5918
6037104103,6037104103,2973,300,236,93,7.9,3.1,3209
6037104105,6037104105,4358,285,73,45,1.7,1,4431
6037104108,6037104108,3870,322,110,77,2.8,2,3980
6037104124,6037104124,3528,380,281,101,8,2.7,3809
6037104201,6037104201,3641,338,49,26,1.3,0.7,3690
6037104203,6037104203,3695,364,72,50,1.9,1.3,3767
6037104204,6037104204,2765,241,125,50,4.5,1.8,2890
6037104310,6037104310,3779,413,69,42,1.8,1.1,3848
6037104320,6037104320,4796,536,74,47,1.5,1,4870
6037104401,6037104401,2678,290,14,17,0.5,0.6,2692
6037104403,6037104403,2535,281,35,36,1.4,1.4,2570
6037104404,6037104404,2114,179,0,0,0,1.6,2114
6037104500,6037104500,2317,312,15,18,0.6,0.8,2332
6037104610,6037104610,2613,225,23,23,0.9,0.9,2636
6037104620,6037104620,2543,215,37,28,1.5,1.1,2580
6037104701,6037104701,2761,246,34,30,1.2,1,2795
6037104703,6037104703,1499,204,16,17,1.1,1.1,1515
6037104704,6037104704,3159,273,104,54,3.3,1.7,3263
6037104810,6037104810,4302,507,64,47,1.5,1.1,4366
6037104821,6037104821,2509,196,16,14,0.6,0.6,2525
6037104822,6037104822,1957,237,18,15,0.9,0.8,1975
6037106010,6037106010,2480,214,166,55,6.7,2.2,2646
6037106020,6037106020,4735,415,314,124,6.6,2.7,5049
6037106111,6037106111,3668,350,135,56,3.7,1.5,3803
6037106112,6037106112,4153,418,229,93,5.5,2.3,4382
6037106113,6037106113,2865,253,143,70,5,2.3,3008
6037106114,6037106114,4349,340,68,48,1.6,1.1,4417
6037106403,6037106403,2759,315,94,46,3.4,1.7,2853
6037106405,6037106405,3312,533,89,61,2.7,1.7,3401
6037106406,6037106406,4320,332,272,110,6.3,2.5,4592
6037106407,6037106407,2164,226,110,55,5.1,2.6,2274
6037106408,6037106408,2440,214,24,25,1,1,2464
6037106510,6037106510,3787,304,112,50,3,1.4,3899
6037106520,6037106520,4300,340,135,55,3.1,1.3,4435
6037106603,6037106603,2503,126,80,32,3.2,1.3,2583
6037106604,6037106604,3369,305,74,44,2.2,1.3,3443
6037106641,6037106641,1875,92,101,39,5.4,2.1,1976
6037106642,6037106642,2574,237,122,67,4.7,2.6,2696
6037106643,6037106643,3873,293,155,72,4,1.9,4028
6037106645,6037106645,2848,285,165,62,5.8,2.2,3013
6037106646,6037106646,2839,204,116,48,4.1,1.7,2955
6037106648,6037106648,3051,208,33,23,1.1,0.8,3084
6037106649,6037106649,1946,152,77,50,4,2.5,2023
6037107010,6037107010,2314,205,37,41,1.6,1.8,2351
6037107020,6037107020,4241,399,118,75,2.8,1.8,4359
6037108101,6037108101,1997,148,49,33,2.5,1.7,2046
6037108102,6037108102,2861,187,137,53,4.8,1.9,2998
6037108103,6037108103,2676,307,169,73,6.3,2.9,2845
6037108104,6037108104,1482,171,48,30,3.2,2,1530
6037108201,6037108201,4309,253,162,85,3.8,2,4471
6037108202,6037108202,5336,289,169,109,3.2,2.1,5505
6037109100,6037109100,2290,207,107,43,4.7,2,2397
6037109200,6037109200,2354,197,153,77,6.5,3.2,2507
6037109300,6037109300,2595,143,126,50,4.9,1.9,2721
6037109400,6037109400,2904,454,114,61,3.9,2.3,3018
6037109500,6037109500,3543,412,13,17,0.4,0.5,3556
6037109601,6037109601,4052,341,208,83,5.1,2,4260
6037109603,6037109603,3540,399,108,59,3.1,1.7,3648
6037109604,6037109604,2254,161,187,65,8.3,2.8,2441
6037109700,6037109700,3591,396,125,58,3.5,1.7,3716
6037109800,6037109800,4294,361,102,58,2.4,1.4,4396
6037111100,6037111100,2413,154,160,52,6.6,2.2,2573
6037111201,6037111201,2713,274,162,67,6,2.5,2875
6037111202,6037111202,4126,383,255,96,6.2,2.4,4381
6037111204,6037111204,5101,247,182,59,3.6,1.2,5283
6037111205,6037111205,3140,250,178,125,5.7,3.9,3318
6037111206,6037111206,3802,342,187,64,4.9,1.7,3989
6037111301,6037111301,5566,454,245,103,4.4,1.8,5811
6037111302,6037111302,4463,295,261,104,5.8,2.3,4724
6037111400,6037111400,6621,458,372,165,5.6,2.5,6993
6037113101,6037113101,2987,301,141,46,4.7,1.6,3128
6037113102,6037113102,2625,149,120,38,4.6,1.4,2745
6037113211,6037113211,3098,170,99,51,3.2,1.6,3197
6037113212,6037113212,2796,159,82,47,2.9,1.7,2878
6037113213,6037113213,4075,278,201,89,4.9,2.3,4276
6037113231,6037113231,1803,87,98,40,5.4,2.2,1901
6037113232,6037113232,3391,276,200,73,5.9,2.2,3591
6037113233,6037113233,6011,564,67,40,1.1,0.7,6078
6037113234,6037113234,3558,302,133,61,3.7,1.7,3691
6037113235,6037113235,1422,130,50,27,3.5,1.9,1472
6037113237,6037113237,3298,287,92,53,2.8,1.6,3390
6037113301,6037113301,1969,151,172,47,8.7,2.2,2141
6037113303,6037113303,3389,234,168,77,5,2.4,3557
6037113321,6037113321,5088,393,160,101,3.1,1.9,5248
6037113322,6037113322,3594,252,198,112,5.5,3,3792
6037113401,6037113401,4865,389,160,64,3.3,1.4,5025
6037113421,6037113421,5172,354,156,65,3,1.2,5328
6037113422,6037113422,5327,535,206,106,3.9,2,5533
6037115101,6037115101,4219,276,244,76,5.8,1.9,4463
6037115103,6037115103,3397,294,35,23,1,0.6,3432
6037115104,6037115104,4083,371,128,60,3.1,1.5,4211
6037115201,6037115201,6088,526,207,126,3.4,2.1,6295
6037115202,6037115202,4289,425,201,86,4.7,2.1,4490
6037115301,6037115301,3632,213,237,84,6.5,2.4,3869
6037115302,6037115302,3150,233,61,34,1.9,1.1,3211
6037115401,6037115401,4715,290,92,53,2,1.1,4807
6037115403,6037115403,2910,301,121,65,4.2,2.2,3031
6037115404,6037115404,2368,161,52,33,2.2,1.4,2420
6037117101,6037117101,4065,317,69,54,1.7,1.3,4134
6037117102,6037117102,2210,173,62,34,2.8,1.5,2272
6037117201,6037117201,3340,298,88,53,2.6,1.5,3428
6037117202,6037117202,2141,183,120,52,5.6,2.3,2261
6037117301,6037117301,3328,225,120,51,3.6,1.5,3448
6037117302,6037117302,4126,259,201,71,4.9,1.7,4327
6037117303,6037117303,2916,186,167,71,5.7,2.5,3083
6037117404,6037117404,3630,315,44,34,1.2,0.9,3674
6037117405,6037117405,2484,224,0,0,0,1.4,2484
6037117407,6037117407,2458,194,17,14,0.7,0.6,2475
6037117408,6037117408,2255,198,67,40,3,1.7,2322
6037117510,6037117510,2581,260,35,34,1.4,1.3,2616
6037117520,6037117520,2797,248,18,24,0.6,0.9,2815
6037117530,6037117530,4683,375,61,54,1.3,1.2,4744
6037119001,6037119001,3189,210,92,34,2.9,1.1,3281
6037119002,6037119002,5895,482,127,74,2.2,1.3,6022
6037119201,6037119201,3024,255,63,33,2.1,1.1,3087
6037119202,6037119202,3433,338,94,53,2.7,1.6,3527
6037119310,6037119310,3146,278,91,59,2.9,2,3237
6037119320,6037119320,3512,330,55,37,1.6,1.1,3567
6037119340,6037119340,2447,189,26,21,1.1,0.9,2473
6037119341,6037119341,2352,170,41,24,1.7,1,2393
