GEO_id2,Civilian_EST_Tot_Pop,Civilian_MOE_Tot_Pop,Veteran_EST,Veteran_MOE,Veteran_EST_Percentage,Veteran_MOE_Percentage
6037104404,2114,179,0,0,0,1.6
6037117405,2484,224,0,0,0,1.4
6037195804,2158,249,0,0,0,1.6
6037208902,2117,229,0,0,0,1.6
6037221900,3327,292,0,0,0,1
6037224020,1958,228,0,0,0,1.8
6037226420,4010,372,0,0,0,0.9
6037226700,4686,578,0,0,0,0.7
6037228410,2472,258,0,0,0,1.4
6037228420,2201,266,0,0,0,1.6
6037229410,2249,250,0,0,0,1.5
6037242100,1478,154,0,0,0,2.3
6037265301,10223,565,0,0,0,0.3
6037265305,3888,468,0,0,0,0.9
6037302201,3151,229,0,0,0,1.1
6037320000,0,12,0,0,-,**
6037402404,1905,246,0,0,0,1.8
6037504102,7,11,0,0,0,100
6037532400,45,17,0,0,0,45.9
6037533402,2837,286,0,0,0,1.2
6037533501,2241,207,0,0,0,1.5
6037533806,2488,305,0,0,0,1.4
6037535400,2058,268,0,0,0,1.7
6037541500,4184,517,0,0,0,0.8
6037575500,35,24,0,0,0,52
6037601900,3483,314,0,0,0,1
6037910811,151,99,0,0,0,20.5
6037980001,0,12,0,0,-,**
6037980002,0,12,0,0,-,**
6037980003,0,12,0,0,-,**
6037980004,0,12,0,0,-,**
6037980005,0,12,0,0,-,**
6037980006,0,12,0,0,-,**
6037980007,0,12,0,0,-,**
6037980008,48,40,0,0,0,44.4
6037980009,5,7,0,0,0,100
6037980013,0,12,0,0,-,**
6037980014,0,12,0,0,-,**
6037980018,0,12,0,0,-,**
6037980019,133,42,0,0,0,22.9
6037980020,0,12,0,0,-,**
6037980021,8,9,0,0,0,100
6037980022,0,12,0,0,-,**
6037980023,0,12,0,0,-,**
6037980025,0,12,0,0,-,**
6037980028,0,12,0,0,-,**
6037980030,0,12,0,0,-,**
6037990100,0,12,0,0,-,**
6037990200,0,12,0,0,-,**
6037990300,0,12,0,0,-,**
6037265304,3099,385,1,44,0,0.1
6037224200,1915,217,3,39,0.2,0.3
6037208302,3407,280,4,34,0.1,0.3
6037226410,2522,210,4,39,0.2,0.3
6037232800,2646,252,4,40,0.2,0.2
6037275101,1078,100,4,46,0.4,0.5
6037533002,1871,172,4,69,0.2,0.3
6037533106,1211,130,4,69,0.3,0.6
6037533202,2032,181,4,69,0.2,0.3
6037533703,3131,282,4,69,0.1,0.3
6037980026,16,13,4,212,25,35.9
6037212305,2313,139,5,36,0.2,0.3
6037222700,4085,470,5,38,0.1,0.2
6037226001,1649,205,5,39,0.3,0.5
6037294120,1609,170,5,47,0.3,0.5
6037401901,3928,389,5,51,0.1,0.2
6037534403,2209,166,5,70,0.2,0.4
6037574601,2180,245,5,84,0.2,0.4
6037980024,185,71,5,206,2.7,4.1
6037120103,2207,259,6,17,0.3,0.5
6037204200,2370,243,6,33,0.3,0.4
6037408202,1570,172,6,56,0.4,0.5
6037433305,3869,362,6,58,0.2,0.3
6037533902,2720,187,6,70,0.2,0.3
6037534804,2896,237,6,70,0.2,0.3
6037540101,4872,306,6,72,0.1,0.2
6037551600,31,13,6,77,19.4,39.4
6037229100,3509,298,7,39,0.2,0.3
6037239330,2042,178,7,42,0.3,0.5
6037599100,234,103,7,87,3,6.9
6037930101,45,21,7,155,15.6,19.9
6037120107,2413,213,8,17,0.3,0.6
6037123205,1899,169,8,18,0.4,0.7
6037192420,3486,380,8,30,0.2,0.4
6037192620,2828,308,8,31,0.3,0.4
6037197700,4281,331,8,32,0.2,0.3
6037208801,2596,292,8,34,0.3,0.5
6037212204,2461,203,8,35,0.3,0.6
6037532604,1943,181,8,68,0.4,0.4
6037532800,2591,239,8,69,0.3,0.5
6037533502,1479,192,8,69,0.5,0.5
6037534406,3306,287,8,70,0.2,0.4
6037535607,3367,216,8,71,0.2,0.4
