GEO_id2,Veteran_MOE_Percentage
6037104404,1.6
6037117405,1.4
6037195804,1.6
6037208902,1.6
6037221900,1
6037224020,1.8
6037226420,0.9
6037226700,0.7
6037228410,1.4
6037228420,1.6
6037229410,1.5
6037242100,2.3
6037265301,0.3
6037265305,0.9
6037302201,1.1
6037320000,**
6037402404,1.8
6037504102,100
6037532400,45.9
6037533402,1.2
6037533501,1.5
6037533806,1.4
6037535400,1.7
6037541500,0.8
6037575500,52
6037601900,1
6037910811,20.5
6037980001,**
6037980002,**
6037980003,**
6037980004,**
6037980005,**
6037980006,**
6037980007,**
6037980008,44.4
6037980009,100
6037980013,**
6037980014,**
6037980018,**
6037980019,22.9
6037980020,**
6037980021,100
6037980022,**
6037980023,**
6037980025,**
6037980028,**
6037980030,**
6037990100,**
6037990200,**
6037990300,**
6037265304,0.1
6037224200,0.3
6037208302,0.3
6037226410,0.3
6037232800,0.2
6037275101,0.5
6037533002,0.3
6037533106,0.6
6037533202,0.3
6037533703,0.3
6037980026,35.9
6037212305,0.3
6037222700,0.2
6037226001,0.5
6037294120,0.5
6037401901,0.2
6037534403,0.4
6037574601,0.4
6037980024,4.1
6037120103,0.5
6037204200,0.4
6037408202,0.5
6037433305,0.3
6037533902,0.3
6037534804,0.3
6037540101,0.2
6037551600,39.4
6037229100,0.3
6037239330,0.5
6037599100,6.9
6037930101,19.9
6037120107,0.6
6037123205,0.7
6037192420,0.4
6037192620,0.4
6037197700,0.3
6037208801,0.5
6037212204,0.6
6037532604,0.4
6037532800,0.5
6037533502,0.5
6037534406,0.4
6037535607,0.4
6037134521,0.5
6037191720,0.5
6037211320,0.5
6037232120,0.5
6037240700,0.3
6037433304,0.3
6037433306,0.5
6037535702,0.4
6037553702,0.5
6037573300,0.5
6037980010,6.1
6037127805,0.5
6037205110,0.6
6037206032,0.4
6037432802,0.4
6037530902,0.5
6037531202,0.5
6037208301,0.8
6037209103,0.5
6037209104,0.6
6037213320,0.6
6037228100,0.5
6037239701,0.4
6037532603,0.9
6037533103,0.5
6037535604,0.6
6037930200,2.4
6037205120,0.7
6037207400,1.9
6037209820,0.6
6037228900,0.8
6037530204,0.6
6037533805,0.7
6037980033,88.8
6037109500,0.5
6037195903,0.8
6037199800,0.5
6037221602,1
6037227010,0.6
6037269907,0.6
6037531102,0.5
6037542000,0.6
6037104401,0.6
6037203300,1.5
6037224010,1
6037404701,0.4
6037533203,1.2
6037535200,0.5
6037542105,0.8
6037104500,0.8
6037191204,0.8
6037211202,0.8
6037237102,0.8
6037241400,0.8
6037531503,0.8
6037533105,0.9
6037534802,0.6
6037920303,1.2
6037104703,1.1
6037104821,0.6
6037123204,0.7
6037185320,0.6
6037189905,0.8
6037192510,0.6
6037221110,0.7
6037228310,0.4
6037240010,0.7
6037434003,0.6
6037530700,0.8
6037533104,0.9
6037534102,0.5
6037542601,1.1
6037910403,1.2
6037117407,0.6
6037191203,1
6037213202,0.6
6037239202,0.7
6037265410,1.2
6037402501,0.4
6037533401,0.5
6037534301,0.6
6037535501,0.7
6037543202,0.8
6037104822,0.8
6037117520,0.9
6037191301,0.8
6037212202,0.7
6037214400,0.7
6037224320,1.2
6037224700,0.3
6037231900,0.8
6037239501,0.6
6037294830,0.8
6037434004,0.8
6037541400,0.5
6037575300,0.7
6037183402,0.7
6037191810,0.7
6037203710,0.7
6037237500,0.7
6037241110,0.8
6037533201,1
6037533702,0.6
6037534405,0.8
6037540502,0.6
6037542106,0.8
6037553701,0.5
6037119342,0.8
6037134001,0.8
6037186301,0.8
6037204700,0.6
6037241300,0.9
6037433504,0.8
6037533403,1.1
6037186401,0.6
6037191610,0.9
6037201503,0.9
6037211310,0.7
6037232110,0.9
6037239801,0.9
6037531302,0.5
6037533300,1
6037534001,0.9
6037535503,1.2
6037535605,0.6
6037134305,0.8
6037204110,1.1
6037204810,0.6
6037208502,0.8
6037211704,0.8
6037213201,0.8
6037240600,0.5
6037462202,0.9
6037481714,0.7
6037534203,0.8
6037104610,0.9
6037121222,0.6
6037197420,0.8
6037208501,1.2
6037224420,1.1
6037533503,2.3
6037540400,1.4
6037540901,0.8
6037553801,0.9
6037106408,1
6037120030,1
6037195720,1.1
6037210010,0.8
6037224310,1.9
6037228720,0.6
6037231710,1
6037242600,0.8
6037530901,0.8
6037531101,0.7
6037535603,0.8
6037573401,1.7
6037601501,1.1
6037190802,1
6037211922,1.3
6037433503,0.9
6037531604,0.8
6037532700,1.2
6037600912,0.6
6037119340,0.9
6037124103,1.6
6037186404,1
6037187200,0.7
6037190100,0.7
6037191620,0.8
6037209403,0.9
6037221820,0.9
6037224410,1
6037239320,0.9
6037240200,1
6037405002,1
6037533701,1.1
6037534302,0.9
6037534404,0.8
6037535102,0.8
6037702501,0.9
6037120104,1.3
6037189904,1.8
6037209200,0.9
6037212102,1.2
6037221710,1
6037265303,0.5
6037271200,1.2
6037273600,1.3
6037433302,1.7
6037433403,0.7
6037481713,0.9
6037531602,0.7
6037533107,1.1
6037540201,1.9
6037800331,3.3
6037123420,0.8
6037199900,1.3
6037204410,1.9
6037211410,1.2
6037211804,1.2
6037212800,1
6037226002,1.6
6037239201,0.6
6037433501,2.1
6037533601,1
6037534002,0.4
6037553503,0.8
6037920011,6.4
6037120020,1.1
6037208402,1
6037277400,1.8
6037302004,0.8
6037302202,0.6
6037531701,0.7
6037532500,1
6037185203,0.8
6037204920,1.3
6037212303,1.1
6037214800,1
6037218600,1.1
6037231210,1.5
6037231220,0.8
6037267501,0.6
6037267502,0.8
6037404803,2.3
6037482503,0.8
6037533001,1.1
6037534202,0.9
6037535502,0.8
6037570203,1
6037575202,0.9
6037123203,1.2
6037183520,0.8
6037188202,1.3
6037212304,2
6037221220,0.8
6037221810,0.9
6037228220,1
6037238320,1.2
6037242200,0.8
6037291120,1.4
6037301502,0.6
6037600602,1.2
6037910101,1.7
6037124105,1.1
6037190401,1
6037227020,1
6037228320,1.3
6037310501,0.8
6037404302,0.9
6037482303,0.6
6037531603,1.3
6037534900,0.8
6037535001,1
6037106648,0.8
6037122200,1
6037213402,0.9
6037217001,0.8
6037219010,1.1
6037301501,1.3
6037534700,0.7
6037535002,1.1
6037535803,0.7
6037542104,1.2
6037570403,1.1
6037601802,1.5
6037104701,1
6037187102,1.7
6037197600,1.5
6037204910,1.1
6037207103,1.5
6037208904,1.1
6037209300,0.8
6037237710,1.3
6037267700,1
6037482304,1
6037532102,1.1
6037534201,1.3
6037601801,2
6037104403,1.4
6037115103,0.6
6037117510,1.3
6037127603,1.4
6037194402,1.1
6037195600,1.4
6037209520,1.2
6037211701,1.6
6037212420,1.2
6037218300,1
6037219902,0.9
6037224600,1.2
6037229420,0.8
6037239310,1
6037272202,1.4
6037294810,0.9
6037301802,1
6037302503,1
6037402706,1
6037536104,1
6037575801,2.2
6037800330,2.8
6037980015,6.9
6037127806,1.6
6037195803,1.1
6037201200,1.5
6037206010,1.6
6037211121,1.3
6037211802,0.9
6037215101,1.2
6037222600,0.7
6037228210,0.9
6037267600,1.3
6037310701,1.4
6037532001,1.8
6037104620,1.1
6037107010,1.8
6037120106,1.1
6037121020,1.2
6037123902,1.3
6037124102,1
6037134520,0.9
