Veteran_EST,Civilian_EST
97,3574
235,2738
61,4612
85,2633
124,3782
158,3348
104,1594
133,3252
116,1580
183,3250
178,2115
106,3775
291,5169
199,2861
245,5673
236,2973
73,4358
110,3870
281,3528
49,3641
72,3695
125,2765
69,3779
74,4796
14,2678
35,2535
0,2114
15,2317
23,2613
37,2543
34,2761
16,1499
104,3159
64,4302
16,2509
18,1957
166,2480
314,4735
135,3668
229,4153
143,2865
68,4349
94,2759
89,3312
272,4320
110,2164
24,2440
112,3787
135,4300
80,2503
74,3369
101,1875
122,2574
155,3873
165,2848
116,2839
33,3051
77,1946
37,2314
118,4241
49,1997
137,2861
169,2676
48,1482
162,4309
169,5336
107,2290
153,2354
126,2595
114,2904
13,3543
208,4052
108,3540
187,2254
125,3591
102,4294
160,2413
162,2713
255,4126
182,5101
178,3140
187,3802
245,5566
261,4463
372,6621
141,2987
120,2625
99,3098
82,2796
201,4075
98,1803
200,3391
67,6011
133,3558
50,1422
92,3298
172,1969
168,3389
160,5088
198,3594
160,4865
156,5172
206,5327
244,4219
35,3397
128,4083
207,6088
201,4289
237,3632
61,3150
92,4715
121,2910
52,2368
69,4065
62,2210
88,3340
120,2141
120,3328
201,4126
167,2916
44,3630
0,2484
17,2458
67,2255
35,2581
18,2797
61,4683
92,3189
127,5895
63,3024
94,3433
91,3146
55,3512
26,2447
41,2352
20,2221
102,4243
114,3968
135,5041
145,3929
39,2039
29,3049
24,1833
6,2207
27,1774
53,2111
37,3060
8,2413
91,3544
115,4408
104,5477
139,3541
37,2958
61,2307
114,1952
72,2448
53,1936
23,3769
80,2091
90,2290
149,2750
52,3090
178,5058
121,3452
57,2127
40,1890
33,2868
67,2571
44,3240
74,2910
59,2697
53,3091
90,3602
31,2721
16,2401
8,1899
44,2135
56,3605
51,2502
136,3354
79,3386
28,3298
106,3813
57,2011
44,4204
75,2831
82,3459
207,4770
97,3166
37,2223
261,4080
37,3108
26,1584
44,2084
32,2068
154,2574
63,2322
39,2155
55,2858
100,3556
125,2300
93,2734
128,4571
70,2320
120,3233
184,5231
96,2913
60,4336
159,5008
66,4126
116,3703
205,2887
100,3049
60,2104
112,4479
49,2319
80,2744
139,4333
51,3690
114,3751
89,4803
45,3170
35,1970
49,2482
52,3069
93,2640
74,2676
67,2387
61,3246
84,3355
10,3056
36,2370
73,3911
72,3314
53,2942
84,3770
44,3619
44,2465
55,3562
55,2621
102,3245
191,3655
94,3421
97,2893
110,4869
131,2887
153,4009
144,3572
82,4863
117,4742
103,2598
160,2653
102,4064
168,4900
155,3968
104,3753
178,2965
154,4803
175,3613
128,2519
134,2570
162,3736
240,4387
157,5704
103,3604
85,3014
242,3828
117,3063
199,3468
180,4677
20,2895
79,3229
158,4510
168,3582
128,3437
124,3556
133,3027
126,5046
109,2321
22,3161
102,3101
88,2980
228,3867
206,2956
113,2275
37,4473
9,2391
77,2686
90,4278
80,3696
124,5122
103,2290
72,4863
78,3636
48,3636
219,3249
77,2562
131,2473
177,4188
101,2139
97,3461
142,5850
154,3962
226,4266
100,2262
347,4722
92,1813
200,3681
161,3318
419,3980
163,3614
254,3561
77,1639
182,3791
142,4248
107,4566
128,3792
196,4163
83,3628
184,2315
63,2020
64,2534
125,4932
53,3539
121,4101
313,4472
