GEO_id2,Civilian_EST,Civilian_MOE,Veteran_EST,Veteran_MOE
6037101110,3574,376,97,55
6037101122,2738,244,235,108
6037101210,4612,413,61,60
6037101220,2633,238,85,39
6037101300,3782,402,124,76
6037101400,3348,211,158,58
6037102103,1594,122,104,42
6037102104,3252,350,133,55
6037102105,1580,191,116,53
6037102107,3250,341,183,68
6037103101,2115,155,178,72
6037103102,3775,332,106,50
6037103200,5169,611,291,144
6037103300,2861,278,199,77
6037103400,5673,550,245,170
6037104103,2973,300,236,93
6037104105,4358,285,73,45
6037104108,3870,322,110,77
6037104124,3528,380,281,101
6037104201,3641,338,49,26
6037104203,3695,364,72,50
6037104204,2765,241,125,50
6037104310,3779,413,69,42
6037104320,4796,536,74,47
6037104401,2678,290,14,17
6037104403,2535,281,35,36
6037104404,2114,179,0,0
6037104500,2317,312,15,18
6037104610,2613,225,23,23
6037104620,2543,215,37,28
6037104701,2761,246,34,30
6037104703,1499,204,16,17
6037104704,3159,273,104,54
6037104810,4302,507,64,47
6037104821,2509,196,16,14
6037104822,1957,237,18,15
6037106010,2480,214,166,55
6037106020,4735,415,314,124
6037106111,3668,350,135,56
6037106112,4153,418,229,93
6037106113,2865,253,143,70
6037106114,4349,340,68,48
6037106403,2759,315,94,46
6037106405,3312,533,89,61
6037106406,4320,332,272,110
6037106407,2164,226,110,55
6037106408,2440,214,24,25
6037106510,3787,304,112,50
6037106520,4300,340,135,55
6037106603,2503,126,80,32
6037106604,3369,305,74,44
6037106641,1875,92,101,39
6037106642,2574,237,122,67
6037106643,3873,293,155,72
6037106645,2848,285,165,62
6037106646,2839,204,116,48
6037106648,3051,208,33,23
6037106649,1946,152,77,50
6037107010,2314,205,37,41
6037107020,4241,399,118,75
6037108101,1997,148,49,33
6037108102,2861,187,137,53
6037108103,2676,307,169,73
6037108104,1482,171,48,30
6037108201,4309,253,162,85
6037108202,5336,289,169,109
6037109100,2290,207,107,43
6037109200,2354,197,153,77
6037109300,2595,143,126,50
6037109400,2904,454,114,61
6037109500,3543,412,13,17
6037109601,4052,341,208,83
6037109603,3540,399,108,59
6037109604,2254,161,187,65
6037109700,3591,396,125,58
6037109800,4294,361,102,58
6037111100,2413,154,160,52
6037111201,2713,274,162,67
6037111202,4126,383,255,96
6037111204,5101,247,182,59
6037111205,3140,250,178,125
6037111206,3802,342,187,64
6037111301,5566,454,245,103
6037111302,4463,295,261,104
6037111400,6621,458,372,165
6037113101,2987,301,141,46
6037113102,2625,149,120,38
6037113211,3098,170,99,51
6037113212,2796,159,82,47
6037113213,4075,278,201,89
6037113231,1803,87,98,40
6037113232,3391,276,200,73
6037113233,6011,564,67,40
6037113234,3558,302,133,61
6037113235,1422,130,50,27
6037113237,3298,287,92,53
6037113301,1969,151,172,47
6037113303,3389,234,168,77
6037113321,5088,393,160,101
6037113322,3594,252,198,112
6037113401,4865,389,160,64
6037113421,5172,354,156,65
6037113422,5327,535,206,106
6037115101,4219,276,244,76
6037115103,3397,294,35,23
6037115104,4083,371,128,60
6037115201,6088,526,207,126
6037115202,4289,425,201,86
6037115301,3632,213,237,84
6037115302,3150,233,61,34
6037115401,4715,290,92,53
6037115403,2910,301,121,65
6037115404,2368,161,52,33
6037117101,4065,317,69,54
6037117102,2210,173,62,34
6037117201,3340,298,88,53
6037117202,2141,183,120,52
6037117301,3328,225,120,51
6037117302,4126,259,201,71
6037117303,2916,186,167,71
6037117404,3630,315,44,34
6037117405,2484,224,0,0
6037117407,2458,194,17,14
6037117408,2255,198,67,40
6037117510,2581,260,35,34
6037117520,2797,248,18,24
6037117530,4683,375,61,54
6037119001,3189,210,92,34
6037119002,5895,482,127,74
6037119201,3024,255,63,33
6037119202,3433,338,94,53
6037119310,3146,278,91,59
6037119320,3512,330,55,37
6037119340,2447,189,26,21
6037119341,2352,170,41,24
6037119342,2221,143,20,19
6037119400,4243,289,102,59
6037119700,3968,324,114,66
6037119800,5041,299,135,63
6037119900,3929,311,145,79
6037120010,2039,170,39,23
6037120020,3049,301,29,34
6037120030,1833,198,24,18
6037120103,2207,259,6,11
6037120104,1774,200,27,22
6037120105,2111,173,53,24
6037120106,3060,282,37,33
6037120107,2413,213,8,13
6037120108,3544,310,91,64
6037120300,4408,361,115,63
6037120400,5477,442,104,62
6037121010,3541,480,139,62
6037121020,2958,238,37,35
6037121101,2307,213,61,35
6037121102,1952,254,114,58
6037121210,2448,198,72,28
6037121221,1936,184,53,33
6037121222,3769,342,23,23
6037121600,2091,267,80,38
6037121801,2290,300,90,47
6037121802,2750,404,149,96
6037121900,3090,248,52,36
6037122000,5058,509,178,87
6037122120,3452,415,121,66
6037122121,2127,174,57,40
6037122122,1890,204,40,25
6037122200,2868,308,33,26
6037122410,2571,282,67,65
6037122420,3240,275,44,42
6037123010,2910,207,74,44
6037123020,2697,229,59,55
6037123103,3091,255,53,38
6037123104,3602,334,90,49
6037123203,2721,252,31,33
6037123204,2401,196,16,18
6037123205,1899,169,8,13
6037123206,2135,132,44,26
6037123301,3605,331,56,46
6037123303,2502,199,51,32
6037123304,3354,267,136,70
6037123410,3386,312,79,71
6037123420,3298,305,28,24
6037123510,3813,315,106,50
6037123520,2011,177,57,35
6037123601,4204,286,44,49
6037123602,2831,245,75,53
6037123700,3459,456,82,42
6037123800,4770,386,207,122
6037123901,3166,252,97,47
6037123902,2223,192,37,28
6037124000,4080,253,261,108
6037124102,3108,303,37,32
6037124103,1584,178,26,25
6037124104,2084,170,44,27
6037124105,2068,148,32,23
6037124201,2574,267,154,105
6037124203,2322,185,63,33
6037124204,2155,270,39,42
6037124300,2858,328,55,40
6037124400,3556,224,100,60
6037124500,2300,253,125,81
6037124600,2734,184,93,43
6037124700,4571,375,128,68
6037124902,2320,214,70,50
6037124903,3233,262,120,56
6037125100,5231,383,184,96
6037125200,2913,302,96,68
6037125310,4336,412,60,59
6037125320,5008,535,159,122
6037125401,4126,323,66,56
6037125402,3703,243,116,55
6037125501,2887,282,205,131
6037125502,3049,290,100,69
6037125600,2104,190,60,38
6037127102,4479,580,112,67
6037127103,2319,271,49,44
6037127104,2744,285,80,57
6037127210,4333,341,139,67
6037127220,3690,235,51,41
6037127300,3751,349,114,54
6037127400,4803,315,89,54
6037127520,3170,289,45,57
6037127603,1970,180,35,27
6037127604,2482,234,49,24
6037127605,3069,365,52,50
6037127606,2640,270,93,49
6037127711,2676,260,74,63
6037127712,2387,211,67,55
6037127803,3246,306,61,36
6037127804,3355,214,84,50
6037127805,3056,275,10,16
6037127806,2370,261,36,37
6037127910,3911,399,73,40
6037127920,3314,240,72,51
6037128101,2942,255,53,40
6037128102,3770,374,84,57
6037128210,3619,282,44,42
6037128220,2465,280,44,33
6037128302,3562,293,55,42
6037128303,2621,290,55,47
6037128400,3245,260,102,58
6037128500,3655,224,191,80
6037128601,3421,255,94,71
6037128602,2893,336,97,51
6037128702,4869,372,110,71
6037128801,2887,219,131,66
6037128802,4009,267,153,79
6037128910,3572,252,144,85
6037131010,4863,325,82,46
6037131020,4742,419,117,67
6037131100,2598,191,103,60
6037131200,2653,244,160,75
6037131300,4064,290,102,59
6037131400,4900,306,168,65
6037131600,3968,534,155,65
6037131701,3753,297,104,70
6037131702,2965,280,178,56
6037131800,4803,399,154,62
6037131900,3613,250,175,74
6037132001,2519,177,128,59
6037132002,2570,258,134,71
6037132101,3736,394,162,88
6037132102,4387,342,240,95
6037132300,5704,514,157,90
6037132501,3604,283,103,51
6037132502,3014,253,85,47
6037132700,3828,235,242,124
6037132900,3063,220,117,61
6037133000,3468,296,199,83
6037133100,4677,397,180,76
6037134001,2895,299,20,25
6037134002,3229,373,79,42
6037134101,4510,446,158,67
6037134103,3582,275,168,86
6037134104,3437,276,128,55
6037134201,3556,425,124,56
6037134302,3027,249,133,91
6037134303,5046,419,126,58
6037134304,2321,163,109,53
6037134305,3161,267,22,24
6037134306,3101,288,102,69
6037134421,2980,231,88,44
6037134422,3867,234,228,87
6037134423,2956,209,206,81
6037134424,2275,118,113,39
6037134520,4473,295,37,40
6037134521,2391,240,9,13
6037134522,2686,285,77,44
6037134710,4278,356,90,53
6037134720,3696,328,80,48
6037134800,5122,341,124,61
6037134901,2290,200,103,52
6037134903,4863,374,72,50
6037134904,3636,414,78,41
6037134905,3636,302,48,36
6037135102,3249,192,219,84
6037135111,2562,198,77,46
6037135113,2473,221,131,49
6037135114,4188,418,177,119
6037135201,2139,181,101,41
6037135202,3461,301,97,57
6037135203,5850,333,142,70
6037137000,3962,213,154,69
6037137103,4266,317,226,115
6037137104,2262,188,100,44
6037137201,4722,458,347,149
6037137301,1813,133,92,38
6037137302,3681,224,200,59
6037137401,3318,265,161,79
6037137402,3980,326,419,145
6037137501,3614,387,163,67
6037137502,3561,302,254,97
6037137504,1639,262,77,31
6037138000,3791,283,182,73
6037139001,4248,259,142,83
6037139200,4566,379,107,87
6037139301,3792,353,128,64
6037139302,4163,389,196,105
6037139303,3628,274,83,54
6037139401,2315,164,184,87
6037139402,2020,157,63,30
6037139502,2534,285,64,45
6037139503,4932,412,125,105
6037139504,3539,231,53,36
6037139600,4101,372,121,62
6037139701,4472,414,313,122
6037139702,4505,281,169,81
6037139703,2254,150,94,42
6037139801,2666,249,146,60
6037139802,3294,343,118,46
6037141101,4016,330,125,81
6037141102,2533,207,94,57
6037141201,3732,228,91,56
6037141202,2317,191,72,48
6037141302,5234,547,199,152
6037141303,2913,228,104,66
6037141304,2387,195,62,37
6037141400,3912,245,176,69
6037141500,2244,187,135,63
6037141600,3395,205,110,52
6037141700,2504,193,139,62
6037143100,3840,372,322,149
6037143200,3696,380,106,61
6037143300,5793,358,158,77
6037143400,5397,373,231,105
6037143500,3848,246,66,46
6037143602,3798,324,200,90
6037143603,2078,178,90,46
6037143604,3105,282,109,59
6037143700,3438,317,81,48
6037143800,4538,352,196,129
6037143901,3235,261,89,49
6037143902,2493,178,49,36
6037181000,5132,348,296,129
6037181300,3364,263,123,53
6037181400,3723,279,120,58
6037181500,3143,218,147,75
6037181600,3974,261,89,41
6037183101,2893,278,108,56
6037183103,3462,322,118,65
6037183104,1848,152,123,51
6037183220,3158,338,88,71
6037183221,2510,259,41,46
6037183222,2882,321,139,70
6037183300,2746,225,72,38
6037183401,1883,162,75,47
6037183402,2544,271,19,17
6037183510,2134,211,78,32
6037183520,2833,299,31,24
6037183610,2626,280,68,36
6037183620,2320,182,54,36
6037183701,3111,285,88,75
6037183702,2322,266,123,75
6037183810,3291,261,65,59
6037183820,2753,303,74,91
6037185100,5266,625,183,83
6037185202,3360,355,129,75
6037185203,2769,240,30,23
6037185204,1625,113,114,44
6037185310,2457,320,38,29
6037185320,2357,230,16,14
6037186100,4142,240,134,61
6037186201,2801,283,117,72
6037186202,1674,159,57,35
6037186203,2392,226,110,83
6037186301,2350,234,20,18
6037186302,4287,368,89,47
6037186401,2616,225,21,16
6037186403,2281,205,92,45
6037186404,2170,155,26,22
6037187101,2752,304,37,27
6037187102,2679,255,34,45
6037187200,2366,207,26,17
6037187300,2843,266,38,29
6037188100,3524,303,42,43
6037188201,3053,254,82,37
6037188202,2099,151,31,26
6037188300,3101,317,60,47
6037189101,2215,209,111,71
6037189102,2822,173,38,27
6037189201,3282,214,74,41
6037189202,2048,213,74,43
6037189300,2532,247,81,37
6037189400,3057,278,135,69
6037189500,3786,354,116,73
6037189600,3327,323,128,97
6037189701,3182,310,114,80
6037189702,1832,183,61,61
6037189800,3640,298,37,44
6037189902,5088,281,99,74
6037189903,2107,177,58,40
6037189904,2375,240,27,42
6037189905,2118,193,16,17
6037190100,4439,450,26,33
6037190201,2288,275,76,96
6037190202,3237,320,50,48
6037190301,5475,582,181,112
6037190401,2871,215,32,27
6037190402,2309,193,103,103
6037190510,3776,279,64,54
6037190520,3257,204,59,40
6037190700,2811,390,80,123
6037190801,2373,479,54,38
6037190802,2541,249,25,26
6037190901,3671,353,62,56
6037190902,3275,333,79,51
6037191000,3722,428,81,59
6037191110,3557,506,50,46
6037191120,3649,315,106,46
6037191201,3899,510,106,88
6037191203,2150,173,17,22
6037191204,1815,158,15,15
6037191301,2115,191,18,17
6037191302,1887,177,44,26
6037191410,3711,360,70,55
6037191420,3010,323,155,177
6037191500,4758,389,88,56
6037191610,3292,334,21,28
6037191620,2382,281,26,18
6037191710,2239,202,44,35
6037191720,2735,315,9,15
6037191810,2975,379,19,22
6037191820,2634,342,53,39
6037191901,2873,295,106,56
6037191902,2144,236,60,39
6037192001,2172,207,60,58
6037192002,2402,264,45,53
6037192300,2127,172,95,45
6037192410,3345,300,102,50
6037192420,3486,380,8,13
6037192510,3020,271,16,18
6037192520,3653,273,53,44
6037192610,3507,353,79,58
6037192620,2828,308,8,12
6037192700,3280,486,89,45
6037194101,3029,291,71,40
6037194102,2949,201,135,57
6037194200,3026,406,109,52
6037194300,3019,512,66,33
6037194401,2293,242,38,25
6037194402,3481,297,35,39
6037194500,1670,135,41,33
6037195100,4116,316,162,76
6037195201,2810,237,77,52
6037195202,2737,198,87,45
6037195300,3007,272,82,53
6037195400,4129,411,129,60
6037195500,4445,384,49,46
6037195600,2791,259,35,40
6037195710,3505,490,68,56
6037195720,1892,192,24,21
6037195802,2259,204,45,34
6037195803,2405,243,36,26
6037195804,2158,249,0,0
6037195901,1894,152,42,36
6037195902,1695,153,38,32
6037195903,1969,147,13,15
6037197200,3061,264,92,58
6037197300,3498,292,78,49
6037197410,3766,298,119,61
6037197420,3020,281,23,25
6037197500,3178,248,49,43
6037197600,2001,178,34,29
6037197700,4281,331,8,12
6037199000,4166,473,51,41
6037199110,1993,147,84,51
6037199120,3216,285,57,38
6037199201,3001,277,83,59
6037199202,2262,200,75,38
6037199300,2972,344,88,52
6037199400,3560,411,53,36
6037199700,2476,202,56,57
6037199800,4129,334,13,20
6037199900,1991,166,28,25
6037201110,1780,147,76,39
6037201120,2816,212,57,39
6037201200,1908,169,36,28
6037201301,2926,312,78,59
6037201302,3565,236,94,50
6037201401,3679,305,50,36
6037201402,4216,414,105,49
6037201501,4460,399,94,45
6037201503,2346,177,21,21
6037201504,1771,189,59,31
6037201601,1781,200,89,42
6037201602,2351,261,70,29
6037201700,5056,598,90,64
6037203100,3105,260,44,43
6037203200,3540,292,71,44
6037203300,1251,184,14,19
6037203500,2214,200,41,32
6037203600,3728,374,38,38
6037203710,2528,232,19,19
6037203720,2941,373,70,52
6037203800,3348,356,106,82
6037203900,2266,247,47,68
6037204110,2418,301,22,27
6037204120,2142,227,60,34
6037204200,2370,243,6,10
6037204300,3466,345,49,37
6037204410,1433,169,28,28
6037204420,2216,213,55,61
6037204600,2951,324,55,57
6037204700,3894,436,20,22
6037204810,3815,388,22,22
6037204820,1639,203,46,29
6037204910,2552,227,34,29
6037204920,1918,181,30,24
6037205110,2641,214,10,17
6037205120,2443,208,12,18
6037206010,2795,379,36,44
6037206020,8083,245,320,83
6037206031,3363,335,117,94
6037206032,4118,373,10,15
6037206050,1750,141,71,39
6037206200,3396,302,108,57
6037206300,5372,686,565,308
6037207101,3289,247,55,45
6037207102,2207,186,58,52
6037207103,1927,212,34,28
6037207301,4738,320,169,92
6037207302,4432,336,178,99
6037207400,1044,290,12,20
6037207501,2121,294,82,75
6037207502,2796,184,93,55
6037207710,3810,348,102,61
6037207900,4518,445,71,67
6037208000,5977,537,52,82
6037208301,1548,186,11,13
6037208302,3407,280,4,11
6037208401,3451,331,84,55
6037208402,2380,254,29,23
6037208501,1810,196,23,22
6037208502,2843,224,22,21
6037208610,3855,365,88,67
6037208620,3455,277,45,34
6037208710,3828,245,54,46
6037208720,3409,317,51,36
6037208801,2596,292,8,14
6037208802,2743,272,70,54
6037208902,2117,229,0,0
6037208903,3406,466,63,43
6037208904,2992,364,34,32
6037209102,4300,327,78,53
6037209103,2566,182,11,13
6037209104,1794,148,11,11
6037209200,3412,290,27,31
6037209300,3527,331,34,29
6037209401,2949,313,41,39
6037209402,2906,279,40,35
6037209403,2887,283,26,28
6037209510,2190,199,37,26
6037209520,1961,207,35,23
6037209810,2140,236,38,33
6037209820,2082,216,12,12
6037210010,2862,305,24,24
6037211000,3771,313,113,53
6037211120,4939,481,105,84
6037211121,1776,173,36,23
6037211122,2769,258,75,40
6037211201,2362,272,45,36
6037211202,2039,195,15,15
6037211310,3419,390,21,25
6037211320,2587,367,9,14
6037211410,2275,331,28,28
6037211420,2877,267,38,29
6037211500,3349,294,107,56
6037211701,2288,225,35,36
6037211703,3918,327,88,59
6037211704,2489,177,22,20
6037211802,3560,351,36,32
6037211803,3066,314,46,35
6037211804,2769,274,28,34
6037211910,3650,341,58,42
6037211921,1911,174,158,100
6037211922,2685,263,25,36
6037212101,2725,288,51,42
6037212102,1995,184,27,24
6037212202,2810,237,18,20
6037212203,2389,236,37,38
6037212204,2461,203,8,14
6037212303,2726,284,30,28
6037212304,1427,149,31,28
6037212305,2313,139,5,8
6037212306,2383,224,64,51
6037212410,3704,309,47,54
6037212420,2749,336,35,33
6037212501,1730,133,87,53
6037212502,2449,250,52,40
6037212610,3477,352,60,45
6037212620,3472,259,67,51
6037212701,2089,188,66,39
6037212702,3126,279,93,58
6037212800,3158,236,28,31
6037212900,3517,312,96,62
6037213100,2372,211,57,32
6037213201,3442,295,22,27
6037213202,3081,241,17,17
6037213310,3050,336,38,45
