GEOID,Veteran_Percent_EST
6037101110,2.7
6037101122,8.6
6037101210,1.3
6037101220,3.2
6037101300,3.3
6037101400,4.7
6037102103,6.5
6037102104,4.1
6037102105,7.3
6037102107,5.6
6037103101,8.4
6037103102,2.8
6037103200,5.6
6037103300,7
6037103400,4.3
6037104103,7.9
6037104105,1.7
6037104108,2.8
6037104124,8
6037104201,1.3
6037104203,1.9
6037104204,4.5
6037104310,1.8
6037104320,1.5
6037104401,0.5
6037104403,1.4
6037104404,0
6037104500,0.6
6037104610,0.9
6037104620,1.5
6037104701,1.2
6037104703,1.1
6037104704,3.3
6037104810,1.5
6037104821,0.6
6037104822,0.9
6037106010,6.7
6037106020,6.6
6037106111,3.7
6037106112,5.5
6037106113,5
6037106114,1.6
6037106403,3.4
6037106405,2.7
6037106406,6.3
6037106407,5.1
6037106408,1
6037106510,3
6037106520,3.1
6037106603,3.2
6037106604,2.2
6037106641,5.4
6037106642,4.7
6037106643,4
6037106645,5.8
6037106646,4.1
6037106648,1.1
6037106649,4
6037107010,1.6
6037107020,2.8
6037108101,2.5
6037108102,4.8
6037108103,6.3
6037108104,3.2
6037108201,3.8
6037108202,3.2
6037109100,4.7
6037109200,6.5
6037109300,4.9
6037109400,3.9
6037109500,0.4
6037109601,5.1
6037109603,3.1
6037109604,8.3
6037109700,3.5
6037109800,2.4
6037111100,6.6
6037111201,6
6037111202,6.2
6037111204,3.6
6037111205,5.7
6037111206,4.9
6037111301,4.4
6037111302,5.8
6037111400,5.6
6037113101,4.7
6037113102,4.6
6037113211,3.2
6037113212,2.9
6037113213,4.9
6037113231,5.4
6037113232,5.9
6037113233,1.1
6037113234,3.7
6037113235,3.5
6037113237,2.8
6037113301,8.7
6037113303,5
6037113321,3.1
6037113322,5.5
6037113401,3.3
6037113421,3
6037113422,3.9
6037115101,5.8
6037115103,1
6037115104,3.1
6037115201,3.4
6037115202,4.7
6037115301,6.5
6037115302,1.9
6037115401,2
6037115403,4.2
6037115404,2.2
6037117101,1.7
6037117102,2.8
6037117201,2.6
6037117202,5.6
6037117301,3.6
6037117302,4.9
6037117303,5.7
6037117404,1.2
6037117405,0
6037117407,0.7
6037117408,3
6037117510,1.4
6037117520,0.6
6037117530,1.3
6037119001,2.9
6037119002,2.2
6037119201,2.1
6037119202,2.7
6037119310,2.9
6037119320,1.6
6037119340,1.1
6037119341,1.7
6037119342,0.9
6037119400,2.4
6037119700,2.9
6037119800,2.7
6037119900,3.7
6037120010,1.9
6037120020,1
6037120030,1.3
6037120103,0.3
6037120104,1.5
6037120105,2.5
6037120106,1.2
6037120107,0.3
6037120108,2.6
6037120300,2.6
6037120400,1.9
6037121010,3.9
6037121020,1.3
6037121101,2.6
6037121102,5.8
6037121210,2.9
6037121221,2.7
6037121222,0.6
6037121600,3.8
6037121801,3.9
6037121802,5.4
6037121900,1.7
6037122000,3.5
6037122120,3.5
6037122121,2.7
6037122122,2.1
6037122200,1.2
6037122410,2.6
6037122420,1.4
6037123010,2.5
6037123020,2.2
6037123103,1.7
6037123104,2.5
6037123203,1.1
6037123204,0.7
6037123205,0.4
6037123206,2.1
6037123301,1.6
6037123303,2
6037123304,4.1
6037123410,2.3
6037123420,0.8
6037123510,2.8
6037123520,2.8
6037123601,1
6037123602,2.6
6037123700,2.4
6037123800,4.3
6037123901,3.1
6037123902,1.7
6037124000,6.4
6037124102,1.2
6037124103,1.6
6037124104,2.1
6037124105,1.5
6037124201,6
6037124203,2.7
6037124204,1.8
6037124300,1.9
6037124400,2.8
6037124500,5.4
6037124600,3.4
6037124700,2.8
6037124902,3
6037124903,3.7
6037125100,3.5
6037125200,3.3
6037125310,1.4
6037125320,3.2
6037125401,1.6
6037125402,3.1
6037125501,7.1
6037125502,3.3
6037125600,2.9
6037127102,2.5
6037127103,2.1
6037127104,2.9
6037127210,3.2
6037127220,1.4
6037127300,3
6037127400,1.9
6037127520,1.4
6037127603,1.8
6037127604,2
6037127605,1.7
6037127606,3.5
6037127711,2.8
6037127712,2.8
6037127803,1.9
6037127804,2.5
6037127805,0.3
6037127806,1.5
6037127910,1.9
6037127920,2.2
6037128101,1.8
6037128102,2.2
6037128210,1.2
6037128220,1.8
6037128302,1.5
6037128303,2.1
6037128400,3.1
6037128500,5.2
6037128601,2.7
6037128602,3.4
6037128702,2.3
6037128801,4.5
6037128802,3.8
6037128910,4
6037131010,1.7
6037131020,2.5
6037131100,4
6037131200,6
6037131300,2.5
6037131400,3.4
6037131600,3.9
6037131701,2.8
6037131702,6
6037131800,3.2
6037131900,4.8
6037132001,5.1
6037132002,5.2
6037132101,4.3
6037132102,5.5
6037132300,2.8
6037132501,2.9
6037132502,2.8
6037132700,6.3
6037132900,3.8
6037133000,5.7
6037133100,3.8
6037134001,0.7
6037134002,2.4
6037134101,3.5
6037134103,4.7
6037134104,3.7
6037134201,3.5
6037134302,4.4
6037134303,2.5
6037134304,4.7
6037134305,0.7
6037134306,3.3
6037134421,3
6037134422,5.9
6037134423,7
6037134424,5
6037134520,0.8
6037134521,0.4
6037134522,2.9
6037134710,2.1
6037134720,2.2
6037134800,2.4
6037134901,4.5
6037134903,1.5
6037134904,2.1
6037134905,1.3
6037135102,6.7
6037135111,3
6037135113,5.3
6037135114,4.2
6037135201,4.7
6037135202,2.8
6037135203,2.4
6037137000,3.9
6037137103,5.3
6037137104,4.4
6037137201,7.3
6037137301,5.1
6037137302,5.4
6037137401,4.9
6037137402,10.5
6037137501,4.5
6037137502,7.1
6037137504,4.7
6037138000,4.8
6037139001,3.3
6037139200,2.3
6037139301,3.4
