GEOID,Civilian_EST,Tot1,Veteran_EST,Tot2
6037101110,3574,3671,97,3671
6037101122,2738,2973,235,2973
6037101210,4612,4673,61,4673
6037101220,2633,2718,85,2718
6037101300,3782,3906,124,3906
6037101400,3348,3506,158,3506
6037102103,1594,1698,104,1698
6037102104,3252,3385,133,3385
6037102105,1580,1696,116,1696
6037102107,3250,3433,183,3433
6037103101,2115,2293,178,2293
6037103102,3775,3881,106,3881
6037103200,5169,5460,291,5460
6037103300,2861,3060,199,3060
6037103400,5673,5918,245,5918
6037104103,2973,3209,236,3209
6037104105,4358,4431,73,4431
6037104108,3870,3980,110,3980
6037104124,3528,3809,281,3809
6037104201,3641,3690,49,3690
6037104203,3695,3767,72,3767
6037104204,2765,2890,125,2890
6037104310,3779,3848,69,3848
6037104320,4796,4870,74,4870
6037104401,2678,2692,14,2692
6037104403,2535,2570,35,2570
6037104404,2114,2114,0,2114
6037104500,2317,2332,15,2332
6037104610,2613,2636,23,2636
6037104620,2543,2580,37,2580
6037104701,2761,2795,34,2795
6037104703,1499,1515,16,1515
6037104704,3159,3263,104,3263
6037104810,4302,4366,64,4366
6037104821,2509,2525,16,2525
6037104822,1957,1975,18,1975
6037106010,2480,2646,166,2646
6037106020,4735,5049,314,5049
6037106111,3668,3803,135,3803
6037106112,4153,4382,229,4382
6037106113,2865,3008,143,3008
6037106114,4349,4417,68,4417
6037106403,2759,2853,94,2853
6037106405,3312,3401,89,3401
6037106406,4320,4592,272,4592
6037106407,2164,2274,110,2274
6037106408,2440,2464,24,2464
6037106510,3787,3899,112,3899
6037106520,4300,4435,135,4435
6037106603,2503,2583,80,2583
6037106604,3369,3443,74,3443
6037106641,1875,1976,101,1976
6037106642,2574,2696,122,2696
6037106643,3873,4028,155,4028
6037106645,2848,3013,165,3013
6037106646,2839,2955,116,2955
6037106648,3051,3084,33,3084
6037106649,1946,2023,77,2023
6037107010,2314,2351,37,2351
6037107020,4241,4359,118,4359
6037108101,1997,2046,49,2046
6037108102,2861,2998,137,2998
6037108103,2676,2845,169,2845
6037108104,1482,1530,48,1530
6037108201,4309,4471,162,4471
6037108202,5336,5505,169,5505
6037109100,2290,2397,107,2397
6037109200,2354,2507,153,2507
6037109300,2595,2721,126,2721
6037109400,2904,3018,114,3018
6037109500,3543,3556,13,3556
6037109601,4052,4260,208,4260
6037109603,3540,3648,108,3648
6037109604,2254,2441,187,2441
6037109700,3591,3716,125,3716
6037109800,4294,4396,102,4396
