GEO_id2,Civilian_EST_Tot_Pop,Civilian_MOE_Tot_Pop,Civilian_Stadard_Error,Veteran_EST,Veteran_MOE,Veteran_Standard_Error
6037104404,2114,179,108.81,0,0,0
6037117405,2484,224,136.17,0,0,0
6037195804,2158,249,151.37,0,0,0
6037208902,2117,229,139.21,0,0,0
6037221900,3327,292,177.51,0,0,0
6037224020,1958,228,138.6,0,0,0
6037226420,4010,372,226.14,0,0,0
6037226700,4686,578,351.37,0,0,0
6037228410,2472,258,156.84,0,0,0
6037228420,2201,266,161.7,0,0,0
6037229410,2249,250,151.98,0,0,0
6037242100,1478,154,93.62,0,0,0
6037265301,10223,565,343.47,0,0,0
6037265305,3888,468,284.5,0,0,0
6037302201,3151,229,139.21,0,0,0
6037320000,0,12,7.29,0,0,0
6037402404,1905,246,149.54,0,0,0
6037504102,7,11,6.69,0,0,0
6037532400,45,17,10.33,0,0,0
6037533402,2837,286,173.86,0,0,0
6037533501,2241,207,125.84,0,0,0
6037533806,2488,305,185.41,0,0,0
6037535400,2058,268,162.92,0,0,0
6037541500,4184,517,314.29,0,0,0
6037575500,35,24,14.59,0,0,0
6037601900,3483,314,190.88,0,0,0
6037910811,151,99,60.18,0,0,0
6037980001,0,12,7.29,0,0,0
6037980002,0,12,7.29,0,0,0
6037980003,0,12,7.29,0,0,0
6037980004,0,12,7.29,0,0,0
6037980005,0,12,7.29,0,0,0
6037980006,0,12,7.29,0,0,0
6037980007,0,12,7.29,0,0,0
6037980008,48,40,24.32,0,0,0
6037980009,5,7,4.26,0,0,0
6037980013,0,12,7.29,0,0,0
6037980014,0,12,7.29,0,0,0
6037980018,0,12,7.29,0,0,0
6037980019,133,42,25.53,0,0,0
6037980020,0,12,7.29,0,0,0
6037980021,8,9,5.47,0,0,0
6037980022,0,12,7.29,0,0,0
6037980023,0,12,7.29,0,0,0
6037980025,0,12,7.29,0,0,0
6037980028,0,12,7.29,0,0,0
6037980030,0,12,7.29,0,0,0
6037990100,0,12,7.29,0,0,0
6037990200,0,12,7.29,0,0,0
6037990300,0,12,7.29,0,0,0
6037265304,3099,385,234.04,1,44,1.82
6037224200,1915,217,131.91,3,39,3.64
6037208302,3407,280,170.21,4,34,3.64
6037226410,2522,210,127.66,4,39,3.64
6037232800,2646,252,153.19,4,40,3.64
6037275101,1078,100,60.79,4,46,3.64
6037533002,1871,172,104.56,4,69,3.64
6037533106,1211,130,79.03,4,69,4.24
6037533202,2032,181,110.03,4,69,4.24
6037533703,3131,282,171.43,4,69,4.24
6037980026,16,13,7.9,4,212,4.24
6037212305,2313,139,84.5,5,36,4.24
6037222700,4085,470,285.71,5,38,4.85
6037226001,1649,205,124.62,5,39,4.85
6037294120,1609,170,103.34,5,47,4.85
6037401901,3928,389,236.47,5,51,4.85
6037534403,2209,166,100.91,5,70,4.85
6037574601,2180,245,148.94,5,84,4.85
6037980024,185,71,43.16,5,206,4.85
6037120103,2207,259,157.45,6,17,5.45
6037204200,2370,243,147.72,6,33,5.45
6037408202,1570,172,104.56,6,56,5.45
6037433305,3869,362,220.06,6,58,5.45
6037533902,2720,187,113.68,6,70,6.06
6037534804,2896,237,144.07,6,70,6.06
6037540101,4872,306,186.02,6,72,6.06
6037551600,31,13,7.9,6,77,6.06
6037229100,3509,298,181.16,7,39,6.67
6037239330,2042,178,108.21,7,42,6.67
6037599100,234,103,62.61,7,87,6.67
6037930101,45,21,12.77,7,155,6.67
6037120107,2413,213,129.48,8,17,6.67
6037123205,1899,169,102.74,8,18,6.67
6037192420,3486,380,231,8,30,7.27
6037192620,2828,308,187.23,8,31,7.27
6037197700,4281,331,201.22,8,32,7.27
6037208801,2596,292,177.51,8,34,7.27
6037212204,2461,203,123.4,8,35,7.27
6037532604,1943,181,110.03,8,68,7.27
6037532800,2591,239,145.29,8,69,7.27
6037533502,1479,192,116.72,8,69,7.27
6037534406,3306,287,174.47,8,70,7.27
6037535607,3367,216,131.31,8,71,7.27
6037134521,2391,240,145.9,9,24,7.27
6037191720,2735,315,191.49,9,30,7.27
6037211320,2587,367,223.1,9,35,7.27
6037232120,3858,325,197.57,9,40,7.27
6037240700,4729,361,219.45,9,42,7.27
6037433304,4026,452,274.77,9,58,7.27
6037433306,2418,230,139.82,9,58,7.27
6037535702,3781,465,282.67,9,71,7.27
6037553702,3170,323,196.35,9,78,7.27
