GEO_id2,civ_std_err,tot_pop_std_err,vet_std_err,tot_pop_std_err2
6037104822,4.26,4.26,1,4.26
6037106114,5.47,5.47,1,5.47
6037104108,6.69,6.69,1,6.69
6037104103,7.29,7.29,1,7.29
6037104500,7.29,7.29,1,7.29
6037104610,7.29,7.29,1,7.29
6037104620,7.29,7.29,1,7.29
6037104701,7.29,7.29,1,7.29
6037104703,7.29,7.29,1,7.29
6037104704,7.29,7.29,1,7.29
6037104810,7.29,7.29,1,7.29
6037106010,7.29,7.29,1,7.29
6037106020,7.29,7.29,1,7.29
6037106111,7.29,7.29,1,7.29
6037106113,7.29,7.29,1,7.29
6037106403,7.29,7.29,1,7.29
6037106405,7.29,7.29,1,7.29
6037106406,7.29,7.29,1,7.29
6037106407,7.29,7.29,1,7.29
6037106408,7.29,7.29,1,7.29
6037106510,7.29,7.29,1,7.29
6037106520,7.29,7.29,1,7.29
6037106603,7.29,7.29,1,7.29
6037108101,7.9,7.9,4.24,7.9
6037111100,7.9,7.9,6.06,7.9
6037104124,10.33,10.33,1,10.33
6037117530,11.55,11.55,7.27,11.55
6037111205,12.77,12.77,6.67,12.77
6037104401,14.59,14.59,1,14.59
6037104821,24.32,24.32,1,24.32
6037115101,24.92,24.92,7.27,24.92
6037106112,25.53,25.53,1,25.53
6037297300,35.87,35.87,28.48,35.87
6037191720,36.47,36.47,16.97,36.47
6037218220,39.51,39.51,21.82,39.51
6037135202,41.34,41.34,13.33,41.34
6037187300,41.95,41.95,16.36,41.95
6037109300,43.16,43.16,4.85,43.16
6037191902,43.16,43.16,17.58,43.16
6037228310,51.06,51.06,23.03,51.06
6037207302,51.67,51.67,19.39,51.67
6037291120,51.67,51.67,27.27,51.67
6037199202,52.89,52.89,18.18,52.89
6037405800,52.89,52.89,32.12,52.89
6037232800,54.1,54.1,23.64,54.1
6037543304,54.71,54.71,44.24,54.71
6037463800,55.32,55.32,35.76,55.32
6037407801,55.93,55.93,32.73,55.93
6037188100,56.53,56.53,16.36,56.53
6037134522,57.75,57.75,13.33,57.75
6037433601,57.75,57.75,35.15,57.75
6037403402,58.36,58.36,30.91,58.36
6037408402,58.97,58.97,33.33,58.97
6037222700,59.57,59.57,22.42,59.57
6037104404,60.18,60.18,1,60.18
6037131010,60.18,60.18,12.12,60.18
6037106646,60.79,60.79,3.64,60.79
6037191710,61.4,61.4,16.97,61.4
6037221302,62.01,62.01,21.82,62.01
6037111204,62.61,62.61,6.67,62.61
6037302401,63.22,63.22,29.09,63.22
6037291110,65.65,65.65,27.27,65.65
6037209403,67.48,67.48,20,67.48
6037408501,67.48,67.48,33.33,67.48
6037141304,68.09,68.09,14.55,68.09
6037404302,68.09,68.09,31.52,68.09
6037213100,68.69,68.69,20.61,68.69
6037219800,68.69,68.69,21.82,68.69
6037432201,68.69,68.69,34.55,68.69
6037461501,68.69,68.69,35.76,68.69
6037480201,68.69,68.69,36.36,68.69
6037482303,68.69,68.69,37.58,68.69
6037209200,69.91,69.91,20,69.91
6037117303,70.52,70.52,7.27,70.52
6037300901,70.52,70.52,28.48,70.52
6037461901,71.12,71.12,35.76,71.12
6037535604,71.12,71.12,42.42,71.12
6037192620,71.73,71.73,17.58,71.73
6037460302,71.73,71.73,35.15,71.73
6037204920,72.34,72.34,19.39,72.34
6037570403,72.34,72.34,47.88,72.34
6037405702,73.56,73.56,32.12,73.56
6037406300,73.56,73.56,32.12,73.56
6037552301,73.56,73.56,46.06,73.56
6037408703,74.16,74.16,33.33,74.16
6037237900,74.77,74.77,24.24,74.77
6037620701,74.77,74.77,55.76,74.77
6037402304,75.38,75.38,30.3,75.38
6037402706,75.38,75.38,30.91,75.38
6037407501,75.38,75.38,32.73,75.38
6037269602,76.6,76.6,26.06,76.6
6037294620,76.6,76.6,27.88,76.6
6037432000,76.6,76.6,34.55,76.6
6037122122,77.2,77.2,9.09,77.2
6037123020,77.81,77.81,9.09,77.81
6037190520,77.81,77.81,16.97,77.81
6037275400,77.81,77.81,27.27,77.81
6037431100,77.81,77.81,33.94,77.81
6037106649,79.03,79.03,4.24,79.03
6037208720,79.03,79.03,20,79.03
6037401203,79.03,79.03,30.3,79.03
6037127920,79.64,79.64,11.52,79.64
6037199900,80.24,80.24,18.18,80.24
6037271400,80.24,80.24,26.67,80.24
6037273100,80.24,80.24,26.67,80.24
6037535603,80.24,80.24,42.42,80.24
6037120400,80.85,80.85,8.48,80.85
6037134421,80.85,80.85,12.73,80.85
6037310900,80.85,80.85,29.7,80.85
6037402406,80.85,80.85,30.91,80.85
6037194500,82.07,82.07,17.58,82.07
6037231500,82.07,82.07,23.03,82.07
6037262302,82.07,82.07,25.45,82.07
6037240200,82.67,82.67,24.85,82.67
6037271801,82.67,82.67,26.67,82.67
6037401312,83.28,83.28,30.3,83.28
6037401603,83.28,83.28,30.3,83.28
6037404702,83.28,83.28,31.52,83.28
6037501001,83.28,83.28,37.58,83.28
6037910707,83.89,83.89,71.52,83.89
6037108102,84.5,84.5,4.24,84.5
6037134306,84.5,84.5,12.73,84.5
6037406000,84.5,84.5,32.12,84.5
6037430502,84.5,84.5,33.94,84.5
6037502302,84.5,84.5,38.18,84.5
6037217100,85.11,85.11,21.21,85.11
6037271200,85.11,85.11,26.67,85.11
6037128500,85.71,85.71,12.12,85.71
6037262400,85.71,85.71,25.45,85.71
6037265301,85.71,85.71,25.45,85.71
6037462301,86.32,86.32,35.76,86.32
6037600703,86.32,86.32,52.12,86.32
6037124500,86.93,86.93,10.3,86.93
6037143902,86.93,86.93,15.15,86.93
6037500600,86.93,86.93,37.58,86.93
6037242200,87.54,87.54,24.85,87.54
6037134905,88.15,88.15,13.33,88.15
6037533300,88.15,88.15,40.61,88.15
6037119900,88.75,88.75,7.88,88.75
6037293301,88.75,88.75,27.88,88.75
6037119002,89.36,89.36,7.27,89.36
6037216300,89.36,89.36,21.21,89.36
6037274202,89.36,89.36,27.27,89.36
6037301400,89.36,89.36,28.48,89.36
6037533702,89.36,89.36,41.21,89.36
6037650102,89.36,89.36,56.97,89.36
6037115404,89.97,89.97,7.27,89.97
6037141400,89.97,89.97,14.55,89.97
6037207900,89.97,89.97,19.39,89.97
6037214000,89.97,89.97,21.21,89.97
6037433504,89.97,89.97,35.15,89.97
6037139703,90.58,90.58,14.55,90.58
6037296901,90.58,90.58,27.88,90.58
6037311400,90.58,90.58,29.7,90.58
6037480703,90.58,90.58,36.36,90.58
6037501002,90.58,90.58,37.58,90.58
6037501200,90.58,90.58,38.18,90.58
6037570202,90.58,90.58,47.88,90.58
6037577100,90.58,90.58,50.91,90.58
6037403320,91.19,91.19,30.91,91.19
6037433801,91.19,91.19,35.15,91.19
6037533201,91.19,91.19,40.61,91.19
6037121900,91.79,91.79,9.09,91.79
6037139702,91.79,91.79,14.55,91.79
6037462202,91.79,91.79,35.76,91.79
6037531701,91.79,91.79,40,91.79
6037535502,91.79,91.79,42.42,91.79
6037555002,91.79,91.79,47.27,91.79
6037195804,92.4,92.4,17.58,92.4
6037276400,92.4,92.4,27.27,92.4
6037482002,92.4,92.4,36.97,92.4
6037482521,92.4,92.4,37.58,92.4
6037702501,92.4,92.4,61.21,92.4
6037920108,92.4,92.4,78.79,92.4
6037117202,93.01,93.01,7.27,93.01
6037134521,93.01,93.01,13.33,93.01
6037191204,93.01,93.01,16.97,93.01
6037291130,93.01,93.01,27.27,93.01
6037103102,93.62,93.62,1,93.62
6037211410,93.62,93.62,20.61,93.62
6037550201,93.62,93.62,44.85,93.62
6037131900,94.22,94.22,12.12,94.22
6037139302,94.22,94.22,13.94,94.22
6037570800,94.22,94.22,48.48,94.22
6037234502,94.83,94.83,23.64,94.83
6037500500,94.83,94.83,37.58,94.83
6037603900,94.83,94.83,55.15,94.83
6037199201,95.44,95.44,18.18,95.44
6037234300,95.44,95.44,23.64,95.44
6037236000,95.44,95.44,23.64,95.44
6037301702,95.44,95.44,28.48,95.44
6037573201,95.44,95.44,49.7,95.44
6037120103,96.05,96.05,7.88,96.05
6037187200,96.05,96.05,16.36,96.05
6037201501,96.05,96.05,18.79,96.05
6037402200,96.05,96.05,30.3,96.05
6037199110,96.66,96.66,18.18,96.66
6037218210,96.66,96.66,21.82,96.66
6037220000,96.66,96.66,21.82,96.66
6037297110,96.66,96.66,28.48,96.66
6037297400,96.66,96.66,28.48,96.66
6037540502,96.66,96.66,43.03,96.66
6037482201,97.26,97.26,36.97,97.26
6037135201,97.87,97.87,13.33,97.87
6037211704,97.87,97.87,20.61,97.87
6037234901,97.87,97.87,23.64,97.87
6037574800,97.87,97.87,50.3,97.87
6037272100,98.48,98.48,26.67,98.48
6037272302,98.48,98.48,26.67,98.48
6037405701,98.48,98.48,32.12,98.48
6037127104,99.09,99.09,10.91,99.09
6037232200,99.09,99.09,23.64,99.09
6037301100,99.09,99.09,28.48,99.09
6037320300,99.09,99.09,29.7,99.09
6037432902,99.09,99.09,34.55,99.09
6037573403,99.7,99.7,49.7,99.7
6037124105,100.3,100.3,10.3,100.3
6037133100,100.3,100.3,12.73,100.3
