GEOID,GEO_id2,Total_POP_EST
6037101110,6037101110,3671
6037101122,6037101122,2973
6037101210,6037101210,4673
6037101220,6037101220,2718
6037101300,6037101300,3906
6037101400,6037101400,3506
6037102103,6037102103,1698
6037102104,6037102104,3385
6037102105,6037102105,1696
6037102107,6037102107,3433
6037103101,6037103101,2293
6037103102,6037103102,3881
6037103200,6037103200,5460
6037103300,6037103300,3060
6037103400,6037103400,5918
6037104103,6037104103,3209
6037104105,6037104105,4431
6037104108,6037104108,3980
6037104124,6037104124,3809
6037104201,6037104201,3690
6037104203,6037104203,3767
6037104204,6037104204,2890
6037104310,6037104310,3848
6037104320,6037104320,4870
6037104401,6037104401,2692
6037104403,6037104403,2570
6037104404,6037104404,2114
6037104500,6037104500,2332
6037104610,6037104610,2636
6037104620,6037104620,2580
6037104701,6037104701,2795
6037104703,6037104703,1515
6037104704,6037104704,3263
6037104810,6037104810,4366
6037104821,6037104821,2525
6037104822,6037104822,1975
6037106010,6037106010,2646
6037106020,6037106020,5049
6037106111,6037106111,3803
6037106112,6037106112,4382
6037106113,6037106113,3008
6037106114,6037106114,4417
6037106403,6037106403,2853
6037106405,6037106405,3401
6037106406,6037106406,4592
6037106407,6037106407,2274
6037106408,6037106408,2464
6037106510,6037106510,3899
6037106520,6037106520,4435
6037106603,6037106603,2583
6037106604,6037106604,3443
6037106641,6037106641,1976
6037106642,6037106642,2696
6037106643,6037106643,4028
6037106645,6037106645,3013
6037106646,6037106646,2955
6037106648,6037106648,3084
6037106649,6037106649,2023
6037107010,6037107010,2351
6037107020,6037107020,4359
6037108101,6037108101,2046
6037108102,6037108102,2998
6037108103,6037108103,2845
6037108104,6037108104,1530
6037108201,6037108201,4471
6037108202,6037108202,5505
6037109100,6037109100,2397
6037109200,6037109200,2507
6037109300,6037109300,2721
6037109400,6037109400,3018
6037109500,6037109500,3556
6037109601,6037109601,4260
6037109603,6037109603,3648
6037109604,6037109604,2441
6037109700,6037109700,3716
6037109800,6037109800,4396
6037111100,6037111100,2573
6037111201,6037111201,2875
6037111202,6037111202,4381
6037111204,6037111204,5283
6037111205,6037111205,3318
6037111206,6037111206,3989
6037111301,6037111301,5811
6037111302,6037111302,4724
6037111400,6037111400,6993
6037113101,6037113101,3128
6037113102,6037113102,2745
6037113211,6037113211,3197
6037113212,6037113212,2878
6037113213,6037113213,4276
6037113231,6037113231,1901
6037113232,6037113232,3591
6037113233,6037113233,6078
6037113234,6037113234,3691
6037113235,6037113235,1472
6037113237,6037113237,3390
6037113301,6037113301,2141
6037113303,6037113303,3557
6037113321,6037113321,5248
6037113322,6037113322,3792
6037113401,6037113401,5025
6037113421,6037113421,5328
6037113422,6037113422,5533
6037115101,6037115101,4463
6037115103,6037115103,3432
6037115104,6037115104,4211
6037115201,6037115201,6295
6037115202,6037115202,4490
6037115301,6037115301,3869
6037115302,6037115302,3211
6037115401,6037115401,4807
6037115403,6037115403,3031
6037115404,6037115404,2420
6037117101,6037117101,4134
6037117102,6037117102,2272
6037117201,6037117201,3428
6037117202,6037117202,2261
6037117301,6037117301,3448
6037117302,6037117302,4327
6037117303,6037117303,3083
6037117404,6037117404,3674
6037117405,6037117405,2484
6037117407,6037117407,2475
6037117408,6037117408,2322
6037117510,6037117510,2616
6037117520,6037117520,2815
6037117530,6037117530,4744
6037119001,6037119001,3281
6037119002,6037119002,6022
6037119201,6037119201,3087
6037119202,6037119202,3527
6037119310,6037119310,3237
6037119320,6037119320,3567
6037119340,6037119340,2473
6037119341,6037119341,2393
6037119342,6037119342,2241
6037119400,6037119400,4345
6037119700,6037119700,4082
6037119800,6037119800,5176
6037119900,6037119900,4074
6037120010,6037120010,2078
6037120020,6037120020,3078
6037120030,6037120030,1857
6037120103,6037120103,2213
6037120104,6037120104,1801
6037120105,6037120105,2164
6037120106,6037120106,3097
6037120107,6037120107,2421
6037120108,6037120108,3635
6037120300,6037120300,4523
6037120400,6037120400,5581
6037121010,6037121010,3680
6037121020,6037121020,2995
6037121101,6037121101,2368
6037121102,6037121102,2066
6037121210,6037121210,2520
6037121221,6037121221,1989
6037121222,6037121222,3792
6037121600,6037121600,2171
6037121801,6037121801,2380
6037121802,6037121802,2899
6037121900,6037121900,3142
6037122000,6037122000,5236
6037122120,6037122120,3573
6037122121,6037122121,2184
6037122122,6037122122,1930
6037122200,6037122200,2901
6037122410,6037122410,2638
6037122420,6037122420,3284
6037123010,6037123010,2984
6037123020,6037123020,2756
6037123103,6037123103,3144
6037123104,6037123104,3692
6037123203,6037123203,2752
6037123204,6037123204,2417
6037123205,6037123205,1907
6037123206,6037123206,2179
6037123301,6037123301,3661
6037123303,6037123303,2553
6037123304,6037123304,3490
6037123410,6037123410,3465
6037123420,6037123420,3326
6037123510,6037123510,3919
6037123520,6037123520,2068
6037123601,6037123601,4248
6037123602,6037123602,2906
6037123700,6037123700,3541
6037123800,6037123800,4977
6037123901,6037123901,3263
6037123902,6037123902,2260
6037124000,6037124000,4341
6037124102,6037124102,3145
6037124103,6037124103,1610
6037124104,6037124104,2128
6037124105,6037124105,2100
6037124201,6037124201,2728
6037124203,6037124203,2385
6037124204,6037124204,2194
6037124300,6037124300,2913
6037124400,6037124400,3656
6037124500,6037124500,2425
6037124600,6037124600,2827
6037124700,6037124700,4699
6037124902,6037124902,2390
6037124903,6037124903,3353
6037125100,6037125100,5415
6037125200,6037125200,3009
6037125310,6037125310,4396
6037125320,6037125320,5167
6037125401,6037125401,4192
6037125402,6037125402,3819
6037125501,6037125501,3092
6037125502,6037125502,3149
6037125600,6037125600,2164
6037127102,6037127102,4591
6037127103,6037127103,2368
6037127104,6037127104,2824
6037127210,6037127210,4472
6037127220,6037127220,3741
6037127300,6037127300,3865
6037127400,6037127400,4892
6037127520,6037127520,3215
6037127603,6037127603,2005
6037127604,6037127604,2531
6037127605,6037127605,3121
6037127606,6037127606,2733
6037127711,6037127711,2750
6037127712,6037127712,2454
6037127803,6037127803,3307
6037127804,6037127804,3439
6037127805,6037127805,3066
6037127806,6037127806,2406
6037127910,6037127910,3984
6037127920,6037127920,3386
6037128101,6037128101,2995
6037128102,6037128102,3854
6037128210,6037128210,3663
6037128220,6037128220,2509
6037128302,6037128302,3617
6037128303,6037128303,2676
6037128400,6037128400,3347
6037128500,6037128500,3846
6037128601,6037128601,3515
6037128602,6037128602,2990
6037128702,6037128702,4979
6037128801,6037128801,3018
6037128802,6037128802,4162
6037128910,6037128910,3716
6037131010,6037131010,4945
6037131020,6037131020,4859
6037131100,6037131100,2701
6037131200,6037131200,2813
6037131300,6037131300,4166
6037131400,6037131400,5068
6037131600,6037131600,4123
6037131701,6037131701,3857
6037131702,6037131702,3143
6037131800,6037131800,4957
6037131900,6037131900,3788
6037132001,6037132001,2647
6037132002,6037132002,2704
6037132101,6037132101,3898
6037132102,6037132102,4627
6037132300,6037132300,5861
6037132501,6037132501,3707
6037132502,6037132502,3099
6037132700,6037132700,4070
6037132900,6037132900,3180
6037133000,6037133000,3667
6037133100,6037133100,4857
6037134001,6037134001,2915
6037134002,6037134002,3308
6037134101,6037134101,4668
6037134103,6037134103,3750
6037134104,6037134104,3565
6037134201,6037134201,3680
6037134302,6037134302,3160
6037134303,6037134303,5172
6037134304,6037134304,2430
6037134305,6037134305,3183
6037134306,6037134306,3203
6037134421,6037134421,3068
6037134422,6037134422,4095
6037134423,6037134423,3162
6037134424,6037134424,2388
6037134520,6037134520,4510
6037134521,6037134521,2400
6037134522,6037134522,2763
6037134710,6037134710,4368
6037134720,6037134720,3776
6037134800,6037134800,5246
6037134901,6037134901,2393
6037134903,6037134903,4935
6037134904,6037134904,3714
6037134905,6037134905,3684
6037135102,6037135102,3468
6037135111,6037135111,2639
6037135113,6037135113,2604
6037135114,6037135114,4365
6037135201,6037135201,2240
6037135202,6037135202,3558
6037135203,6037135203,5992
6037137000,6037137000,4116
6037137103,6037137103,4492
6037137104,6037137104,2362
6037137201,6037137201,5069
6037137301,6037137301,1905
6037137302,6037137302,3881
6037137401,6037137401,3479
6037137402,6037137402,4399
6037137501,6037137501,3777
6037137502,6037137502,3815
6037137504,6037137504,1716
6037138000,6037138000,3973
6037139001,6037139001,4390
6037139200,6037139200,4673
6037139301,6037139301,3920
6037139302,6037139302,4359
6037139303,6037139303,3711
6037139401,6037139401,2499
6037139402,6037139402,2083
6037139502,6037139502,2598
6037139503,6037139503,5057
6037139504,6037139504,3592
6037139600,6037139600,4222
6037139701,6037139701,4785
6037139702,6037139702,4674
6037139703,6037139703,2348
6037139801,6037139801,2812
6037139802,6037139802,3412
6037141101,6037141101,4141
6037141102,6037141102,2627
6037141201,6037141201,3823
6037141202,6037141202,2389
6037141302,6037141302,5433
6037141303,6037141303,3017
6037141304,6037141304,2449
6037141400,6037141400,4088
6037141500,6037141500,2379
6037141600,6037141600,3505
6037141700,6037141700,2643
6037143100,6037143100,4162
6037143200,6037143200,3802
6037143300,6037143300,5951
6037143400,6037143400,5628
6037143500,6037143500,3914
6037143602,6037143602,3998
6037143603,6037143603,2168
6037143604,6037143604,3214
6037143700,6037143700,3519
6037143800,6037143800,4734
6037143901,6037143901,3324
6037143902,6037143902,2542
6037181000,6037181000,5428
6037181300,6037181300,3487
6037181400,6037181400,3843
6037181500,6037181500,3290
6037181600,6037181600,4063
6037183101,6037183101,3001
6037183103,6037183103,3580
6037183104,6037183104,1971
6037183220,6037183220,3246
6037183221,6037183221,2551
6037183222,6037183222,3021
6037183300,6037183300,2818
6037183401,6037183401,1958
6037183402,6037183402,2563
6037183510,6037183510,2212
6037183520,6037183520,2864
6037183610,6037183610,2694
6037183620,6037183620,2374
6037183701,6037183701,3199
6037183702,6037183702,2445
6037183810,6037183810,3356
6037183820,6037183820,2827
6037185100,6037185100,5449
6037185202,6037185202,3489
6037185203,6037185203,2799
6037185204,6037185204,1739
6037185310,6037185310,2495
6037185320,6037185320,2373
6037186100,6037186100,4276
6037186201,6037186201,2918
6037186202,6037186202,1731
6037186203,6037186203,2502
6037186301,6037186301,2370
6037186302,6037186302,4376
6037186401,6037186401,2637
6037186403,6037186403,2373
6037186404,6037186404,2196
6037187101,6037187101,2789
6037187102,6037187102,2713
6037187200,6037187200,2392
6037187300,6037187300,2881
6037188100,6037188100,3566
6037188201,6037188201,3135
6037188202,6037188202,2130
6037188300,6037188300,3161
6037189101,6037189101,2326
6037189102,6037189102,2860
6037189201,6037189201,3356
6037189202,6037189202,2122
6037189300,6037189300,2613
6037189400,6037189400,3192
6037189500,6037189500,3902
6037189600,6037189600,3455
6037189701,6037189701,3296
6037189702,6037189702,1893
6037189800,6037189800,3677
6037189902,6037189902,5187
6037189903,6037189903,2165
6037189904,6037189904,2402
6037189905,6037189905,2134
6037190100,6037190100,4465
6037190201,6037190201,2364
6037190202,6037190202,3287
6037190301,6037190301,5656
6037190401,6037190401,2903
6037190402,6037190402,2412
6037190510,6037190510,3840
6037190520,6037190520,3316
6037190700,6037190700,2891
6037190801,6037190801,2427
6037190802,6037190802,2566
6037190901,6037190901,3733
6037190902,6037190902,3354
6037191000,6037191000,3803
6037191110,6037191110,3607
6037191120,6037191120,3755
6037191201,6037191201,4005
6037191203,6037191203,2167
6037191204,6037191204,1830
6037191301,6037191301,2133
6037191302,6037191302,1931
6037191410,6037191410,3781
6037191420,6037191420,3165
6037191500,6037191500,4846
6037191610,6037191610,3313
6037191620,6037191620,2408
6037191710,6037191710,2283
6037191720,6037191720,2744
6037191810,6037191810,2994
6037191820,6037191820,2687
6037191901,6037191901,2979
6037191902,6037191902,2204
6037192001,6037192001,2232
6037192002,6037192002,2447
6037192300,6037192300,2222
6037192410,6037192410,3447
6037192420,6037192420,3494
6037192510,6037192510,3036
6037192520,6037192520,3706
6037192610,6037192610,3586
6037192620,6037192620,2836
6037192700,6037192700,3369
6037194101,6037194101,3100
6037194102,6037194102,3084
6037194200,6037194200,3135
6037194300,6037194300,3085
6037194401,6037194401,2331
6037194402,6037194402,3516
6037194500,6037194500,1711
6037195100,6037195100,4278
6037195201,6037195201,2887
6037195202,6037195202,2824
6037195300,6037195300,3089
6037195400,6037195400,4258
6037195500,6037195500,4494
6037195600,6037195600,2826
6037195710,6037195710,3573
6037195720,6037195720,1916
6037195802,6037195802,2304
6037195803,6037195803,2441
6037195804,6037195804,2158
6037195901,6037195901,1936
6037195902,6037195902,1733
6037195903,6037195903,1982
6037197200,6037197200,3153
6037197300,6037197300,3576
6037197410,6037197410,3885
6037197420,6037197420,3043
6037197500,6037197500,3227
6037197600,6037197600,2035
6037197700,6037197700,4289
6037199000,6037199000,4217
6037199110,6037199110,2077
6037199120,6037199120,3273
6037199201,6037199201,3084
6037199202,6037199202,2337
6037199300,6037199300,3060
6037199400,6037199400,3613
6037199700,6037199700,2532
6037199800,6037199800,4142
6037199900,6037199900,2019
6037201110,6037201110,1856
6037201120,6037201120,2873
6037201200,6037201200,1944
6037201301,6037201301,3004
6037201302,6037201302,3659
6037201401,6037201401,3729
6037201402,6037201402,4321
6037201501,6037201501,4554
6037201503,6037201503,2367
6037201504,6037201504,1830
6037201601,6037201601,1870
6037201602,6037201602,2421
6037201700,6037201700,5146
6037203100,6037203100,3149
6037203200,6037203200,3611
6037203300,6037203300,1265
6037203500,6037203500,2255
6037203600,6037203600,3766
6037203710,6037203710,2547
6037203720,6037203720,3011
6037203800,6037203800,3454
6037203900,6037203900,2313
6037204110,6037204110,2440
6037204120,6037204120,2202
6037204200,6037204200,2376
6037204300,6037204300,3515
6037204410,6037204410,1461
6037204420,6037204420,2271
6037204600,6037204600,3006
6037204700,6037204700,3914
6037204810,6037204810,3837
6037204820,6037204820,1685
6037204910,6037204910,2586
6037204920,6037204920,1948
6037205110,6037205110,2651
6037205120,6037205120,2455
6037206010,6037206010,2831
6037206020,6037206020,8403
6037206031,6037206031,3480
6037206032,6037206032,4128
6037206050,6037206050,1821
6037206200,6037206200,3504
6037206300,6037206300,5937
6037207101,6037207101,3344
6037207102,6037207102,2265
6037207103,6037207103,1961
6037207301,6037207301,4907
6037207302,6037207302,4610
6037207400,6037207400,1056
6037207501,6037207501,2203
6037207502,6037207502,2889
6037207710,6037207710,3912
6037207900,6037207900,4589
6037208000,6037208000,6029
6037208301,6037208301,1559
6037208302,6037208302,3411
6037208401,6037208401,3535
6037208402,6037208402,2409
6037208501,6037208501,1833
6037208502,6037208502,2865
6037208610,6037208610,3943
6037208620,6037208620,3500
6037208710,6037208710,3882
6037208720,6037208720,3460
6037208801,6037208801,2604
6037208802,6037208802,2813
6037208902,6037208902,2117
6037208903,6037208903,3469
6037208904,6037208904,3026
6037209102,6037209102,4378
6037209103,6037209103,2577
6037209104,6037209104,1805
6037209200,6037209200,3439
6037209300,6037209300,3561
6037209401,6037209401,2990
6037209402,6037209402,2946
6037209403,6037209403,2913
6037209510,6037209510,2227
6037209520,6037209520,1996
6037209810,6037209810,2178
6037209820,6037209820,2094
6037210010,6037210010,2886
6037211000,6037211000,3884
6037211120,6037211120,5044
6037211121,6037211121,1812
6037211122,6037211122,2844
6037211201,6037211201,2407
6037211202,6037211202,2054
6037211310,6037211310,3440
6037211320,6037211320,2596
6037211410,6037211410,2303
6037211420,6037211420,2915
6037211500,6037211500,3456
6037211701,6037211701,2323
6037211703,6037211703,4006
6037211704,6037211704,2511
6037211802,6037211802,3596
6037211803,6037211803,3112
6037211804,6037211804,2797
6037211910,6037211910,3708
6037211921,6037211921,2069
6037211922,6037211922,2710
6037212101,6037212101,2776
6037212102,6037212102,2022
6037212202,6037212202,2828
6037212203,6037212203,2426
6037212204,6037212204,2469
6037212303,6037212303,2756
6037212304,6037212304,1458
6037212305,6037212305,2318
6037212306,6037212306,2447
6037212410,6037212410,3751
6037212420,6037212420,2784
6037212501,6037212501,1817
6037212502,6037212502,2501
6037212610,6037212610,3537
6037212620,6037212620,3539
6037212701,6037212701,2155
6037212702,6037212702,3219
6037212800,6037212800,3186
6037212900,6037212900,3613
6037213100,6037213100,2429
6037213201,6037213201,3464
6037213202,6037213202,3098
6037213310,6037213310,3088
6037213320,6037213320,2033
6037213401,6037213401,3991
6037213402,6037213402,3439
6037214000,6037214000,2720
6037214100,6037214100,3023
6037214400,6037214400,2672
6037214501,6037214501,2374
6037214502,6037214502,4619
6037214503,6037214503,2904
6037214600,6037214600,2302
6037214700,6037214700,2331
6037214800,6037214800,2728
6037214901,6037214901,2940
6037214902,6037214902,2642
6037215101,6037215101,2739
6037215102,6037215102,2981
6037216100,6037216100,2162
6037216200,6037216200,5052
6037216300,6037216300,4209
6037216401,6037216401,3848
6037216402,6037216402,2617
6037216700,6037216700,3192
6037216800,6037216800,2629
6037216900,6037216900,4462
6037217001,6037217001,2114
6037217002,6037217002,4316
6037217100,6037217100,5345
6037217200,6037217200,3304
6037218110,6037218110,2783
6037218120,6037218120,3949
6037218210,6037218210,2894
6037218220,6037218220,3574
6037218300,6037218300,4196
6037218400,6037218400,3574
6037218500,6037218500,2255
6037218600,6037218600,2593
6037218701,6037218701,1916
6037218702,6037218702,1719
6037218800,6037218800,2460
6037218900,6037218900,4795
6037219010,6037219010,2507
6037219020,6037219020,3571
6037219300,6037219300,3163
6037219500,6037219500,1540
6037219700,6037219700,3491
6037219800,6037219800,2309
6037219901,6037219901,3418
6037219902,6037219902,2967
6037220000,6037220000,4460
6037220100,6037220100,2229
6037221110,6037221110,2871
6037221120,6037221120,2474
6037221210,6037221210,2536
6037221220,6037221220,2928
6037221302,6037221302,4238
6037221303,6037221303,2264
6037221304,6037221304,2901
