GEO_id,GEOID,GEO_id2,GEO_displaylabel,Veteran_MOE
1400000U,6037101110,6037101110,"Census Tract 1011.10, Los Angeles County, California",55
1400000U,6037101122,6037101122,"Census Tract 1011.22, Los Angeles County, California",108
1400000U,6037101210,6037101210,"Census Tract 1012.10, Los Angeles County, California",60
1400000U,6037101220,6037101220,"Census Tract 1012.20, Los Angeles County, California",39
1400000U,6037101300,6037101300,"Census Tract 1013, Los Angeles County, California",76
1400000U,6037101400,6037101400,"Census Tract 1014, Los Angeles County, California",58
1400000U,6037102103,6037102103,"Census Tract 1021.03, Los Angeles County, California",42
1400000U,6037102104,6037102104,"Census Tract 1021.04, Los Angeles County, California",55
1400000U,6037102105,6037102105,"Census Tract 1021.05, Los Angeles County, California",53
1400000U,6037102107,6037102107,"Census Tract 1021.07, Los Angeles County, California",68
1400000U,6037103101,6037103101,"Census Tract 1031.01, Los Angeles County, California",72
1400000U,6037103102,6037103102,"Census Tract 1031.02, Los Angeles County, California",50
1400000U,6037103200,6037103200,"Census Tract 1032, Los Angeles County, California",144
1400000U,6037103300,6037103300,"Census Tract 1033, Los Angeles County, California",77
1400000U,6037103400,6037103400,"Census Tract 1034, Los Angeles County, California",170
1400000U,6037104103,6037104103,"Census Tract 1041.03, Los Angeles County, California",93
1400000U,6037104105,6037104105,"Census Tract 1041.05, Los Angeles County, California",45
1400000U,6037104108,6037104108,"Census Tract 1041.08, Los Angeles County, California",77
1400000U,6037104124,6037104124,"Census Tract 1041.24, Los Angeles County, California",101
1400000U,6037104201,6037104201,"Census Tract 1042.01, Los Angeles County, California",26
1400000U,6037104203,6037104203,"Census Tract 1042.03, Los Angeles County, California",50
1400000U,6037104204,6037104204,"Census Tract 1042.04, Los Angeles County, California",50
1400000U,6037104310,6037104310,"Census Tract 1043.10, Los Angeles County, California",42
1400000U,6037104320,6037104320,"Census Tract 1043.20, Los Angeles County, California",47
1400000U,6037104401,6037104401,"Census Tract 1044.01, Los Angeles County, California",17
1400000U,6037104403,6037104403,"Census Tract 1044.03, Los Angeles County, California",36
1400000U,6037104404,6037104404,"Census Tract 1044.04, Los Angeles County, California",0
1400000U,6037104500,6037104500,"Census Tract 1045, Los Angeles County, California",18
1400000U,6037104610,6037104610,"Census Tract 1046.10, Los Angeles County, California",23
1400000U,6037104620,6037104620,"Census Tract 1046.20, Los Angeles County, California",28
1400000U,6037104701,6037104701,"Census Tract 1047.01, Los Angeles County, California",30
1400000U,6037104703,6037104703,"Census Tract 1047.03, Los Angeles County, California",17
1400000U,6037104704,6037104704,"Census Tract 1047.04, Los Angeles County, California",54
1400000U,6037104810,6037104810,"Census Tract 1048.10, Los Angeles County, California",47
1400000U,6037104821,6037104821,"Census Tract 1048.21, Los Angeles County, California",14
1400000U,6037104822,6037104822,"Census Tract 1048.22, Los Angeles County, California",15
1400000U,6037106010,6037106010,"Census Tract 1060.10, Los Angeles County, California",55
1400000U,6037106020,6037106020,"Census Tract 1060.20, Los Angeles County, California",124
1400000U,6037106111,6037106111,"Census Tract 1061.11, Los Angeles County, California",56
1400000U,6037106112,6037106112,"Census Tract 1061.12, Los Angeles County, California",93
1400000U,6037106113,6037106113,"Census Tract 1061.13, Los Angeles County, California",70
1400000U,6037106114,6037106114,"Census Tract 1061.14, Los Angeles County, California",48
1400000U,6037106403,6037106403,"Census Tract 1064.03, Los Angeles County, California",46
1400000U,6037106405,6037106405,"Census Tract 1064.05, Los Angeles County, California",61
1400000U,6037106406,6037106406,"Census Tract 1064.06, Los Angeles County, California",110
1400000U,6037106407,6037106407,"Census Tract 1064.07, Los Angeles County, California",55
1400000U,6037106408,6037106408,"Census Tract 1064.08, Los Angeles County, California",25
1400000U,6037106510,6037106510,"Census Tract 1065.10, Los Angeles County, California",50
1400000U,6037106520,6037106520,"Census Tract 1065.20, Los Angeles County, California",55
1400000U,6037106603,6037106603,"Census Tract 1066.03, Los Angeles County, California",32
1400000U,6037106604,6037106604,"Census Tract 1066.04, Los Angeles County, California",44
1400000U,6037106641,6037106641,"Census Tract 1066.41, Los Angeles County, California",39
1400000U,6037106642,6037106642,"Census Tract 1066.42, Los Angeles County, California",67
1400000U,6037106643,6037106643,"Census Tract 1066.43, Los Angeles County, California",72
1400000U,6037106645,6037106645,"Census Tract 1066.45, Los Angeles County, California",62
1400000U,6037106646,6037106646,"Census Tract 1066.46, Los Angeles County, California",48
1400000U,6037106648,6037106648,"Census Tract 1066.48, Los Angeles County, California",23
1400000U,6037106649,6037106649,"Census Tract 1066.49, Los Angeles County, California",50
1400000U,6037107010,6037107010,"Census Tract 1070.10, Los Angeles County, California",41
1400000U,6037107020,6037107020,"Census Tract 1070.20, Los Angeles County, California",75
1400000U,6037108101,6037108101,"Census Tract 1081.01, Los Angeles County, California",33
1400000U,6037108102,6037108102,"Census Tract 1081.02, Los Angeles County, California",53
1400000U,6037108103,6037108103,"Census Tract 1081.03, Los Angeles County, California",73
1400000U,6037108104,6037108104,"Census Tract 1081.04, Los Angeles County, California",30
